Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
71761,2.67,20.37,1002.64,42.67,88.72,Safe
73779,2.55,20.37,1002.64,42.22,88.72,Safe
75799,2.55,20.38,1002.64,41.58,88.72,Safe
77817,2.32,20.38,1002.64,41.04,88.69,Safe
79835,2.32,20.38,1002.64,40.86,88.70,Safe
81853,2.32,20.39,1002.65,40.81,88.66,Safe
83871,2.20,20.39,1002.65,40.53,88.64,Safe
85889,2.32,20.40,1002.65,40.35,88.61,Safe
87907,2.20,20.40,1002.65,40.25,88.63,Safe
89925,2.20,20.40,1002.64,40.60,88.72,Safe
91943,2.20,20.40,1002.63,40.47,88.79,Safe
93961,2.20,20.41,1002.63,40.31,88.83,Safe
95979,2.20,20.41,1002.62,40.30,88.85,Safe
97997,3.05,20.41,1002.62,44.60,88.88,Safe
100017,15.45,20.42,1002.62,42.28,88.90,Warning
102035,15.45,20.42,1002.62,42.07,88.89,Warning
104053,8.54,20.43,1002.62,42.16,88.89,Warning
106071,9.53,20.43,1002.62,41.42,88.87,Warning
108089,9.74,20.44,1002.62,40.95,88.91,Warning
110107,8.93,20.45,1002.62,40.63,88.89,Warning
112125,8.54,20.45,1002.62,40.45,88.89,Warning
114143,8.35,20.46,1002.62,40.23,88.89,Warning
116161,13.49,20.46,1002.62,46.91,88.89,Warning
118179,13.26,20.47,1002.62,47.62,88.87,Warning
120197,15.20,20.48,1002.62,43.54,88.86,Warning
122224,14.70,20.48,1002.62,42.28,88.85,Warning
124242,15.20,20.49,1002.63,41.64,88.81,Warning
126260,15.96,20.49,1002.63,41.18,88.81,Warning
128278,15.96,20.49,1002.63,40.79,88.82,Warning
130296,15.45,20.50,1002.63,40.71,88.79,Warning
132314,14.46,20.50,1002.63,42.04,88.82,Warning
134332,3.18,20.50,1002.63,44.77,88.81,Safe
136350,5.35,20.51,1002.63,44.82,88.80,Warning
138368,3.18,20.51,1002.63,42.41,88.78,Safe
140386,3.18,20.52,1002.64,41.47,88.74,Safe
142404,6.01,20.52,1002.64,40.92,88.71,Warning
144424,9.33,20.53,1002.64,40.53,88.69,Warning
146442,13.73,20.53,1002.64,42.89,88.69,Warning
148460,10.78,20.54,1002.65,41.93,88.66,Warning
150478,13.97,20.54,1002.64,41.61,88.71,Warning
152496,12.33,20.55,1002.64,41.00,88.70,Warning
